codigo_boya,nombre_boya,tipo_boya,fecha,Hs_media_diaria_m,Hs_maxima_diaria_m,observaciones_diarias
1103,Bilbao costera,Costera,2011-12-23,1.49,2.17,24
1103,Bilbao costera,Costera,2011-12-24,2.39,2.87,24
1103,Bilbao costera,Costera,2011-12-25,1.65,2.12,24
1103,Bilbao costera,Costera,2011-12-26,1.57,1.82,24
1103,Bilbao costera,Costera,2011-12-27,1.53,1.74,24
1103,Bilbao costera,Costera,2011-12-28,1.61,2.24,24
1103,Bilbao costera,Costera,2011-12-29,2.88,3.86,24
1103,Bilbao costera,Costera,2011-12-30,2.48,2.9,24
1103,Bilbao costera,Costera,2011-12-31,2.39,2.77,24
1103,Bilbao costera,Costera,2012-01-01,1.93,2.12,24
1103,Bilbao costera,Costera,2012-01-02,2.79,3.42,24
1103,Bilbao costera,Costera,2012-01-03,3.65,4.12,24
1103,Bilbao costera,Costera,2012-01-04,3.53,4.17,24
1103,Bilbao costera,Costera,2012-01-05,3.83,4.67,24
1103,Bilbao costera,Costera,2012-01-06,3.21,4.46,24
1103,Bilbao costera,Costera,2012-01-07,1.8,2.39,24
1103,Bilbao costera,Costera,2012-01-08,1.46,1.82,24
1103,Bilbao costera,Costera,2012-01-09,1.46,1.98,24
1103,Bilbao costera,Costera,2012-01-10,1.05,1.24,24
1103,Bilbao costera,Costera,2012-01-11,1.33,1.59,24
1103,Bilbao costera,Costera,2012-01-12,1.2,1.44,24
1103,Bilbao costera,Costera,2012-01-13,1.06,1.26,24
1103,Bilbao costera,Costera,2012-01-14,0.68,0.86,24
1103,Bilbao costera,Costera,2012-01-15,0.74,1.28,24
1103,Bilbao costera,Costera,2012-01-16,1.63,2.01,24
1103,Bilbao costera,Costera,2012-01-17,1.33,1.7,24
1103,Bilbao costera,Costera,2012-01-18,0.88,1.31,24
1103,Bilbao costera,Costera,2012-01-19,1.4,1.57,24
1103,Bilbao costera,Costera,2012-01-20,1.96,2.26,24
1103,Bilbao costera,Costera,2012-01-21,2.06,2.29,24
1103,Bilbao costera,Costera,2012-01-22,1.85,2.07,24
1103,Bilbao costera,Costera,2012-01-23,2.09,2.36,24
1103,Bilbao costera,Costera,2012-01-24,1.54,1.87,24
1103,Bilbao costera,Costera,2012-01-25,0.9,1.13,24
1103,Bilbao costera,Costera,2012-01-26,1.54,2.35,24
1103,Bilbao costera,Costera,2012-01-27,2.99,3.69,24
1103,Bilbao costera,Costera,2012-01-28,2.4,2.61,24
1103,Bilbao costera,Costera,2012-01-29,1.81,2.2,24
1103,Bilbao costera,Costera,2012-01-30,0.94,1.33,24
1103,Bilbao costera,Costera,2012-01-31,1.42,1.98,24
1103,Bilbao costera,Costera,2012-02-01,1.83,2.6,24
1103,Bilbao costera,Costera,2012-02-02,2.61,3.14,24
1103,Bilbao costera,Costera,2012-02-03,2.19,2.88,24
1103,Bilbao costera,Costera,2012-02-04,1.9,2.24,24
1103,Bilbao costera,Costera,2012-02-05,2.95,4.34,24
1103,Bilbao costera,Costera,2012-02-06,2.12,3.39,24
1103,Bilbao costera,Costera,2012-02-07,1.38,1.87,24
1103,Bilbao costera,Costera,2012-02-08,2.14,2.48,24
1103,Bilbao costera,Costera,2012-02-09,1.47,1.88,24
1103,Bilbao costera,Costera,2012-02-10,1.17,1.25,24
1103,Bilbao costera,Costera,2012-02-11,1.17,1.36,24
1103,Bilbao costera,Costera,2012-02-12,1.36,1.56,24
1103,Bilbao costera,Costera,2012-02-13,1.24,1.52,24
1103,Bilbao costera,Costera,2012-02-14,2.2,2.47,24
1103,Bilbao costera,Costera,2012-02-15,1.95,2.22,24
1103,Bilbao costera,Costera,2012-02-16,1.59,1.86,24
1103,Bilbao costera,Costera,2012-02-17,1.02,1.27,24
1103,Bilbao costera,Costera,2012-02-18,0.85,1.04,24
1103,Bilbao costera,Costera,2012-02-19,1.97,2.74,24
1103,Bilbao costera,Costera,2012-02-20,1.76,2.46,24
1103,Bilbao costera,Costera,2012-02-21,0.82,1.16,24
1103,Bilbao costera,Costera,2012-02-22,0.43,0.51,24
1103,Bilbao costera,Costera,2012-02-23,0.75,0.94,24
1103,Bilbao costera,Costera,2012-02-24,1.48,1.74,24
1103,Bilbao costera,Costera,2012-02-25,1.45,1.83,24
1103,Bilbao costera,Costera,2012-02-26,1.49,1.9,24
1103,Bilbao costera,Costera,2012-02-27,1.05,1.28,24
1103,Bilbao costera,Costera,2012-02-28,1.01,1.22,24
1103,Bilbao costera,Costera,2012-02-29,0.95,1.16,24
1103,Bilbao costera,Costera,2012-03-01,0.95,1.11,24
1103,Bilbao costera,Costera,2012-03-02,1.05,1.22,24
1103,Bilbao costera,Costera,2012-03-03,1.05,1.56,24
1103,Bilbao costera,Costera,2012-03-04,1.98,2.89,24
1103,Bilbao costera,Costera,2012-03-05,2.42,3.02,24
1103,Bilbao costera,Costera,2012-03-06,1.97,2.37,24
1103,Bilbao costera,Costera,2012-03-07,0.99,1.59,24
1103,Bilbao costera,Costera,2012-03-08,2.36,4.58,24
1103,Bilbao costera,Costera,2012-03-09,3.18,4.18,24
1103,Bilbao costera,Costera,2012-03-10,1.89,2.35,24
1103,Bilbao costera,Costera,2012-03-11,1.87,2.25,24
1103,Bilbao costera,Costera,2012-03-12,1.25,1.61,24
1103,Bilbao costera,Costera,2012-03-13,0.91,1.14,24
1103,Bilbao costera,Costera,2012-03-14,0.78,1.02,24
1103,Bilbao costera,Costera,2012-03-15,1.26,1.55,24
1103,Bilbao costera,Costera,2012-03-16,1.09,1.32,24
1103,Bilbao costera,Costera,2012-03-17,1.6,2.0,24
1103,Bilbao costera,Costera,2012-03-18,2.13,2.78,24
1103,Bilbao costera,Costera,2012-03-19,1.69,1.96,24
1103,Bilbao costera,Costera,2012-03-20,1.22,1.62,24
1103,Bilbao costera,Costera,2012-03-21,1.22,1.38,24
1103,Bilbao costera,Costera,2012-03-22,0.87,1.09,24
1103,Bilbao costera,Costera,2012-03-23,0.7,1.03,24
1103,Bilbao costera,Costera,2012-03-24,0.61,0.73,24
1103,Bilbao costera,Costera,2012-03-25,0.81,0.98,24
1103,Bilbao costera,Costera,2012-03-26,0.85,1.02,24
1103,Bilbao costera,Costera,2012-03-27,0.96,1.15,24
1103,Bilbao costera,Costera,2012-03-28,0.78,0.99,24
1103,Bilbao costera,Costera,2012-03-29,0.53,0.61,24
1103,Bilbao costera,Costera,2012-03-30,0.71,0.9,21
1103,Bilbao costera,Costera,2012-03-31,0.69,0.89,24
1103,Bilbao costera,Costera,2012-04-01,1.03,1.45,24
1103,Bilbao costera,Costera,2012-04-02,0.83,1.22,24
1103,Bilbao costera,Costera,2012-04-03,0.68,0.88,24
1103,Bilbao costera,Costera,2012-04-04,0.83,0.98,22
1103,Bilbao costera,Costera,2012-04-05,1.57,2.11,24
1103,Bilbao costera,Costera,2012-04-06,1.18,1.54,24
1103,Bilbao costera,Costera,2012-04-07,1.53,2.13,24
1103,Bilbao costera,Costera,2012-04-08,1.2,1.5,24
1103,Bilbao costera,Costera,2012-04-09,0.85,0.99,24
1103,Bilbao costera,Costera,2012-04-10,1.67,2.61,24
1103,Bilbao costera,Costera,2012-04-11,2.61,3.64,24
1103,Bilbao costera,Costera,2012-04-12,1.92,2.21,24
1103,Bilbao costera,Costera,2012-04-13,1.47,1.88,24
1103,Bilbao costera,Costera,2012-04-14,1.01,1.35,24
1103,Bilbao costera,Costera,2012-04-15,1.98,3.38,24
1103,Bilbao costera,Costera,2012-04-16,2.1,3.0,23
1103,Bilbao costera,Costera,2012-04-17,1.09,2.05,24
1103,Bilbao costera,Costera,2012-04-18,4.0,5.91,24
1103,Bilbao costera,Costera,2012-04-19,3.47,4.21,24
1103,Bilbao costera,Costera,2012-04-20,2.09,2.52,24
1103,Bilbao costera,Costera,2012-04-21,1.94,2.21,24
1103,Bilbao costera,Costera,2012-04-22,1.73,2.07,24
1103,Bilbao costera,Costera,2012-04-23,2.48,4.8,24
1103,Bilbao costera,Costera,2012-04-24,3.85,5.76,24
1103,Bilbao costera,Costera,2012-04-25,2.15,3.07,24
1103,Bilbao costera,Costera,2012-04-26,2.37,3.17,24
1103,Bilbao costera,Costera,2012-04-27,1.61,2.02,24
1103,Bilbao costera,Costera,2012-04-28,1.37,1.48,24
1103,Bilbao costera,Costera,2012-04-29,1.47,1.74,24
1103,Bilbao costera,Costera,2012-04-30,2.03,2.39,24
1103,Bilbao costera,Costera,2012-05-01,1.33,1.75,24
1103,Bilbao costera,Costera,2012-05-02,0.58,0.79,24
1103,Bilbao costera,Costera,2012-05-03,0.4,0.53,24
1103,Bilbao costera,Costera,2012-05-04,0.39,0.51,24
1103,Bilbao costera,Costera,2012-05-05,0.52,0.9,24
1103,Bilbao costera,Costera,2012-05-06,0.64,0.74,23
1103,Bilbao costera,Costera,2012-05-07,0.46,0.58,24
1103,Bilbao costera,Costera,2012-05-08,0.37,0.57,24
1103,Bilbao costera,Costera,2012-05-09,0.49,0.73,24
1103,Bilbao costera,Costera,2012-05-10,0.55,1.18,24
1103,Bilbao costera,Costera,2012-05-11,0.67,0.79,23
1103,Bilbao costera,Costera,2012-05-12,1.47,1.81,24
1103,Bilbao costera,Costera,2012-05-13,1.48,1.82,24
1103,Bilbao costera,Costera,2012-05-14,0.68,1.15,24
1103,Bilbao costera,Costera,2012-05-15,1.31,1.93,24
1103,Bilbao costera,Costera,2012-05-16,1.61,2.1,24
1103,Bilbao costera,Costera,2012-05-17,0.92,1.38,23
1103,Bilbao costera,Costera,2012-05-18,1.19,1.54,24
1103,Bilbao costera,Costera,2012-05-19,0.92,1.06,24
1103,Bilbao costera,Costera,2012-05-20,1.28,1.91,24
1103,Bilbao costera,Costera,2012-05-21,2.46,3.14,24
1103,Bilbao costera,Costera,2012-05-22,1.11,1.68,24
1103,Bilbao costera,Costera,2012-05-23,0.91,1.14,24
1103,Bilbao costera,Costera,2012-05-24,0.78,0.96,24
1103,Bilbao costera,Costera,2012-05-25,0.9,1.46,24
1103,Bilbao costera,Costera,2012-05-26,0.87,1.22,24
1103,Bilbao costera,Costera,2012-05-27,0.62,0.83,24
1103,Bilbao costera,Costera,2012-05-28,0.74,0.91,24
1103,Bilbao costera,Costera,2012-05-29,0.86,1.15,24
1103,Bilbao costera,Costera,2012-05-30,0.48,0.71,24
1103,Bilbao costera,Costera,2012-05-31,0.55,0.73,24
1103,Bilbao costera,Costera,2012-06-01,0.63,0.83,24
1103,Bilbao costera,Costera,2012-06-02,0.98,1.52,24
1103,Bilbao costera,Costera,2012-06-03,0.94,1.21,24
1103,Bilbao costera,Costera,2012-06-04,0.77,0.88,23
1103,Bilbao costera,Costera,2012-06-05,0.57,0.76,24
1103,Bilbao costera,Costera,2012-06-06,0.67,0.93,24
1103,Bilbao costera,Costera,2012-06-07,1.13,1.71,24
1103,Bilbao costera,Costera,2012-06-08,1.7,2.37,24
1103,Bilbao costera,Costera,2012-06-09,1.55,2.01,24
1103,Bilbao costera,Costera,2012-06-10,1.06,1.77,24
1103,Bilbao costera,Costera,2012-06-11,1.24,1.86,24
1103,Bilbao costera,Costera,2012-06-12,1.14,1.56,24
1103,Bilbao costera,Costera,2012-06-13,0.85,1.01,24
1103,Bilbao costera,Costera,2012-06-14,0.67,0.81,24
1103,Bilbao costera,Costera,2012-06-15,1.28,1.92,24
1103,Bilbao costera,Costera,2012-06-16,1.45,1.76,24
1103,Bilbao costera,Costera,2012-06-17,1.42,1.66,24
1103,Bilbao costera,Costera,2012-06-18,1.12,1.35,24
1103,Bilbao costera,Costera,2012-06-19,0.79,0.98,24
1103,Bilbao costera,Costera,2012-06-20,0.59,0.83,24
1103,Bilbao costera,Costera,2012-06-21,1.19,1.87,24
1103,Bilbao costera,Costera,2012-06-22,1.59,2.12,24
1103,Bilbao costera,Costera,2012-06-23,0.98,1.36,24
1103,Bilbao costera,Costera,2012-06-24,0.62,0.78,24
1103,Bilbao costera,Costera,2012-06-25,0.89,1.14,24
1103,Bilbao costera,Costera,2012-06-26,0.83,1.06,24
1103,Bilbao costera,Costera,2012-06-27,0.69,0.96,24
1103,Bilbao costera,Costera,2012-06-28,0.86,1.05,24
1103,Bilbao costera,Costera,2012-06-29,0.96,1.26,24
1103,Bilbao costera,Costera,2012-06-30,1.04,1.33,24
1103,Bilbao costera,Costera,2012-07-01,1.14,1.33,24
1103,Bilbao costera,Costera,2012-07-02,0.79,0.94,24
1103,Bilbao costera,Costera,2012-07-03,0.81,1.0,24
1103,Bilbao costera,Costera,2012-07-04,0.98,1.26,24
1103,Bilbao costera,Costera,2012-07-05,1.49,2.13,24
1103,Bilbao costera,Costera,2012-07-06,1.71,2.18,24
1103,Bilbao costera,Costera,2012-07-07,0.92,1.11,24
1103,Bilbao costera,Costera,2012-07-08,1.18,1.61,24
1103,Bilbao costera,Costera,2012-07-09,0.89,1.19,24
1103,Bilbao costera,Costera,2012-07-10,0.61,0.75,24
1103,Bilbao costera,Costera,2012-07-11,0.68,0.81,24
1103,Bilbao costera,Costera,2012-07-12,0.71,0.81,24
1103,Bilbao costera,Costera,2012-07-13,1.49,2.72,24
1103,Bilbao costera,Costera,2012-07-14,1.61,2.19,24
1103,Bilbao costera,Costera,2012-07-15,1.01,1.29,24
1103,Bilbao costera,Costera,2012-07-16,0.85,1.04,24
1103,Bilbao costera,Costera,2012-07-17,0.82,1.04,24
1103,Bilbao costera,Costera,2012-07-18,1.05,1.33,24
1103,Bilbao costera,Costera,2012-07-19,0.92,1.08,24
1103,Bilbao costera,Costera,2012-07-20,0.85,1.06,24
1103,Bilbao costera,Costera,2012-07-21,0.73,0.93,24
1103,Bilbao costera,Costera,2012-07-22,0.47,0.56,24
1103,Bilbao costera,Costera,2012-07-23,0.52,0.66,24
1103,Bilbao costera,Costera,2012-07-24,1.02,1.38,24
1103,Bilbao costera,Costera,2012-07-25,1.28,1.54,24
1103,Bilbao costera,Costera,2012-07-26,1.07,1.29,24
1103,Bilbao costera,Costera,2012-07-27,0.9,1.24,24
1103,Bilbao costera,Costera,2012-07-28,1.41,1.77,24
1103,Bilbao costera,Costera,2012-07-29,0.88,1.16,24
1103,Bilbao costera,Costera,2012-07-30,0.71,0.88,24
1103,Bilbao costera,Costera,2012-07-31,0.75,1.01,24
1103,Bilbao costera,Costera,2012-08-01,0.87,1.22,24
1103,Bilbao costera,Costera,2012-08-02,1.6,2.02,24
1103,Bilbao costera,Costera,2012-08-03,1.83,2.24,24
1103,Bilbao costera,Costera,2012-08-04,1.95,2.24,24
1103,Bilbao costera,Costera,2012-08-05,1.44,1.77,24
1103,Bilbao costera,Costera,2012-08-06,1.33,1.55,24
1103,Bilbao costera,Costera,2012-08-07,0.95,1.19,24
1103,Bilbao costera,Costera,2012-08-08,0.97,1.09,24
1103,Bilbao costera,Costera,2012-08-09,0.72,0.88,24
1103,Bilbao costera,Costera,2012-08-10,0.74,1.09,24
1103,Bilbao costera,Costera,2012-08-11,0.9,1.11,24
1103,Bilbao costera,Costera,2012-08-12,0.63,0.85,24
1103,Bilbao costera,Costera,2012-08-13,0.5,0.61,24
1103,Bilbao costera,Costera,2012-08-14,0.66,0.86,24
1103,Bilbao costera,Costera,2012-08-15,1.18,1.91,24
